"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.289878708E0,4.329152871E-4,7.396494038E-4,-2.875523642E-4,9.039818851E-4
1.299886708E0,-2.477120608E-3,-7.695641834E-4,9.015488904E-4,2.746114699E-3
1.309893708E0,-1.459526946E-3,-3.106426448E-6,4.634589422E-4,1.531346710E-3
1.319901708E0,-1.172970864E-3,-1.166907838E-3,-1.376252621E-3,2.152116592E-3
1.329908708E0,-4.129047738E-4,-4.166953731E-4,-1.075049164E-3,1.224686119E-3
1.339916708E0,-1.626240904E-3,-1.121367794E-3,2.418837976E-4,1.990133910E-3
1.349923708E0,-1.482962747E-3,-3.586336970E-5,3.268390428E-4,1.518976119E-3
1.359931708E0,-3.399340203E-4,-6.382702850E-4,-8.891604375E-4,1.146102255E-3
1.369938708E0,2.918008249E-5,-1.012444496E-3,-4.458473995E-6,1.012874727E-3
1.379946708E0,1.293478999E-5,8.168807253E-4,7.356342394E-4,1.099372167E-3
1.389953708E0,-6.917376304E-4,4.922416992E-4,-2.047279850E-4,8.733363542E-4
1.399961708E0,1.919225440E-3,1.542059705E-3,1.089922152E-4,2.464397234E-3
1.409968708E0,1.543486724E-4,-1.945877448E-4,-9.845015593E-4,1.015347834E-3
1.419975708E0,-1.652307110E-4,-7.541177329E-4,2.240410540E-4,8.038589035E-4
1.429983708E0,1.563427155E-3,7.092952728E-5,-1.035634428E-3,1.876665696E-3
1.439990708E0,6.534249987E-4,-4.332023673E-5,-1.416110899E-4,6.699959498E-4
1.449998708E0,1.887034159E-4,-2.198878210E-4,1.899523195E-4,3.464700805E-4
1.460005708E0,3.439657157E-4,-8.140341379E-5,-3.014008980E-4,4.645227989E-4
1.470013708E0,2.055579331E-3,-1.091002487E-4,3.207137343E-4,2.083306638E-3
1.480020708E0,2.600761363E-4,-2.422581892E-4,3.284367267E-4,4.839414328E-4
1.490028708E0,1.672084094E-3,-4.784739576E-5,9.273814503E-4,1.912639784E-3
1.500035708E0,5.532901268E-4,9.811981581E-4,3.334966023E-4,1.174776478E-3
1.510043708E0,2.827129792E-4,8.496376686E-4,-1.659612870E-3,1.885769253E-3
1.520050708E0,-1.125832903E-3,-1.366378507E-3,-1.962680835E-3,2.643218873E-3
1.530058708E0,-1.368979574E-3,-1.144537237E-3,-3.721518442E-5,1.784784449E-3
1.540065708E0,-2.162334975E-3,-8.305504452E-4,-9.251991287E-6,2.316374794E-3
1.550073708E0,-1.394545776E-3,-1.881700242E-3,-1.163112465E-4,2.345012159E-3
1.560080708E0,-8.448694134E-4,-8.603779133E-4,7.446890231E-4,1.417256583E-3
1.570088708E0,-2.090163529E-3,4.616216756E-5,-3.429460339E-4,2.118614289E-3
1.580095708E0,-7.295544492E-4,-1.777304336E-3,7.305738982E-4,2.055431492E-3
1.590103708E0,2.254550345E-4,-1.105654985E-3,4.589317832E-4,1.218163084E-3
1.600110708E0,-6.709649460E-4,1.306636259E-3,-9.940890595E-4,1.773613636E-3
1.610118708E0,1.612429274E-3,1.470958814E-4,2.372945426E-3,2.872705233E-3
1.620125708E0,5.271912087E-4,1.768961083E-3,-1.121654408E-3,2.159921872E-3
1.630133708E0,9.160126792E-4,4.600174725E-4,-1.285705250E-3,1.644303285E-3
1.640140708E0,1.218814170E-3,6.616185419E-4,-8.169002831E-5,1.389215727E-3
1.650148708E0,4.321163287E-4,-3.216203768E-4,9.851723444E-4,1.122821774E-3
1.660155708E0,9.684769902E-4,2.342872322E-3,4.605294671E-4,2.576642347E-3
1.670163708E0,1.322943717E-3,1.839002129E-3,1.914615510E-3,2.966118922E-3
1.680170708E0,1.580205048E-3,9.766705334E-4,-1.764986664E-4,1.866034593E-3
1.690178708E0,7.636798546E-4,3.110661637E-3,1.384646399E-3,3.489508331E-3
1.700185708E0,9.093548288E-4,1.284798142E-3,-5.866254214E-4,1.679810065E-3
1.710193708E0,3.122740891E-4,2.443273552E-3,-1.057472313E-3,2.680550027E-3
1.720200708E0,7.320292061E-4,3.798267106E-3,3.705141135E-4,3.885869333E-3
1.730208708E0,3.392129438E-4,3.855258925E-3,-3.623878583E-4,3.887082680E-3
1.740215708E0,5.037962692E-4,4.542354494E-3,-7.501442451E-4,4.631361724E-3
1.750222708E0,-8.818464121E-4,2.442984609E-3,8.373660967E-4,2.728920826E-3
1.760230708E0,1.137894928E-3,2.866160823E-3,8.560083807E-4,3.200380146E-3
1.770237708E0,-4.428229295E-5,2.224871656E-3,3.489423543E-4,2.252504289E-3
1.780245708E0,-1.771739917E-4,3.454789985E-4,2.991412766E-4,4.901345378E-4
1.790252708E0,-4.237826215E-4,-2.346977126E-3,6.931042299E-5,2.385937399E-3
1.800260083E0,-2.081334125E-3,-4.754740745E-3,1.356682274E-3,5.364708574E-3
1.810267083E0,-1.317539602E-3,-4.105994944E-3,1.225122251E-3,4.482859535E-3
1.820275083E0,-1.129520475E-3,-4.610663746E-3,2.978281118E-3,5.603944601E-3
1.830282083E0,2.778135939E-3,-6.557967514E-3,2.533533610E-3,7.559349824E-3
1.840290083E0,-5.838387879E-4,-1.599754207E-2,4.241596907E-2,4.533626200E-2
1.850297083E0,-1.165300142E-2,-3.637392074E-2,3.817794025E-1,3.836852443E-1
1.860305083E0,1.362133073E-3,-5.663678050E-3,6.810547709E-1,6.810796823E-1
1.870312083E0,-6.528280210E-3,-1.201318577E-2,7.881479263E-1,7.882665088E-1
1.880320083E0,-3.566312604E-3,-1.237750705E-2,7.509851456E-1,7.510956065E-1
1.890327083E0,1.575186034E-3,1.136963442E-2,7.185060382E-1,7.185977155E-1
1.900335083E0,1.351466961E-2,4.541894421E-2,7.658790946E-1,7.673436742E-1
1.910342083E0,2.784261014E-3,2.890308760E-2,8.880055547E-1,8.884801662E-1
1.920350083E0,-1.390776481E-3,1.815909706E-2,1.022458673E0,1.022620860E0
1.930357083E0,5.097216461E-3,3.529201075E-2,1.120903254E0,1.121470290E0
1.940365083E0,-3.578296863E-3,1.996525377E-2,1.183366060E0,1.183539880E0
1.950372083E0,-9.333122522E-3,1.009744219E-2,1.207392573E0,1.207470866E0
1.960380083E0,-6.558757741E-5,1.651486196E-2,1.214633226E0,1.214745496E0
1.970387083E0,3.762440290E-3,2.636456303E-2,1.232588291E0,1.232875964E0
1.980395083E0,7.520693354E-3,3.140246123E-2,1.275656581E0,1.276065197E0
1.990402083E0,6.417878438E-3,3.671786562E-2,1.346237898E0,1.346753826E0
2.000410083E0,1.398884691E-3,2.481220663E-2,1.453451395E0,1.453663840E0
2.010417083E0,-9.918349097E-4,2.487825230E-2,1.578685522E0,1.578881848E0
2.020425083E0,-2.133531962E-3,1.826242730E-2,1.697176695E0,1.697276289E0
2.030432083E0,-2.201708965E-3,2.758775093E-2,1.791386604E0,1.791600373E0
2.040440083E0,4.460987169E-3,3.577776998E-2,1.864713550E0,1.865062082E0
2.050447083E0,2.176793991E-3,3.219901398E-2,1.948150873E0,1.948418163E0
2.060454083E0,2.546440810E-3,3.700602055E-2,2.018606424E0,2.018947207E0
2.070462083E0,2.814621199E-3,3.360569477E-2,2.093271494E0,2.093543124E0
2.080469083E0,1.332425326E-2,6.580092013E-2,2.146473408E0,2.147523082E0
2.090477083E0,2.803702140E-3,3.311434388E-2,2.186690807E0,2.186943325E0
2.100484083E0,1.934446394E-3,3.829552233E-2,2.218801498E0,2.219132799E0
2.110492083E0,4.192008171E-3,5.485665426E-2,2.260754824E0,2.261424153E0
2.120499083E0,-2.293588128E-3,3.114200570E-2,2.291048765E0,2.291261559E0
2.130507083E0,8.233756525E-4,5.602471903E-2,2.297155619E0,2.297838851E0
2.140514083E0,2.892651828E-3,4.134643823E-2,2.296063185E0,2.296437250E0
2.150522083E0,-3.704797011E-3,3.260967508E-2,2.293424368E0,2.293659183E0
2.160529083E0,6.561156362E-3,3.614981472E-2,2.297617197E0,2.297910930E0
2.170537083E0,2.206355100E-3,4.464050382E-2,2.334929705E0,2.335357439E0
2.180544083E0,-2.483737655E-3,2.902772464E-2,2.408949137E0,2.409125302E0
2.190552083E0,-4.924923414E-4,4.895668849E-2,2.511516094E0,2.511993251E0
2.200559083E0,1.755748293E-3,4.461094365E-2,2.610222340E0,2.610604122E0
2.210567083E0,3.933148924E-3,4.546475038E-2,2.711221933E0,2.711605961E0
2.220574083E0,-4.434901057E-4,6.730587035E-2,2.830143929E0,2.830944177E0
2.230582083E0,-2.958845813E-3,5.852596089E-2,2.940506935E0,2.941090797E0
2.240589083E0,-5.537449615E-4,6.344854832E-2,3.041947365E0,3.042609044E0
2.250597083E0,-6.176476832E-3,4.852072895E-2,3.122332573E0,3.122715662E0
2.260604083E0,-5.510686431E-3,5.188350379E-2,3.186787128E0,3.187214217E0
2.270612083E0,6.335320417E-3,4.885229468E-2,3.218955040E0,3.219331954E0
2.280619083E0,5.060198717E-3,4.389348626E-2,3.208859921E0,3.209164102E0
2.290627083E0,3.938741516E-3,4.879743233E-2,3.179066181E0,3.179443110E0
2.300634083E0,2.635656856E-3,6.386213750E-2,3.142997980E0,3.143647821E0
2.310642083E0,-7.532026153E-3,3.545099869E-2,3.115604162E0,3.115814950E0
2.320649083E0,5.943835713E-3,3.992670774E-2,3.065886259E0,3.066151990E0
2.330657083E0,-1.245634281E-3,5.083261803E-2,3.019547939E0,3.019976037E0
2.340664083E0,-2.157500479E-3,4.707889259E-2,2.983986139E0,2.984358282E0
